时间,真实值,预测值
2017-04-28 19:00:00,0.18970045,-2.47123
2017-04-28 19:30:00,3.0477557,2.9134593
2017-04-28 20:00:00,0.18970045,2.730481
2017-04-28 20:30:00,0.18970045,-1.6747512
2017-04-28 21:00:00,2.2227945,0.8530927
2017-04-28 21:30:00,4.79076,3.2723162
2017-04-28 22:00:00,1.3341969,5.221794
2017-04-28 22:30:00,-10.660316,-8.551074
2017-04-28 23:00:00,2.483525,2.030016
2017-04-28 23:30:00,5.7848186,5.212138
2017-04-29 00:00:00,1.0402657,0.19063722
2017-04-29 00:30:00,0.18970045,2.5637503
2017-04-29 01:00:00,3.1869862,4.515898
2017-04-29 01:30:00,-9.321396,2.0333307
2017-04-29 02:00:00,-6.716767,2.008618
2017-04-29 02:30:00,0.18970045,-0.5031604
2017-04-29 03:00:00,-21.38617,2.4147613
2017-04-29 03:30:00,0.7404104,2.3161838
2017-04-29 04:00:00,-8.023344,-4.098579
2017-04-29 04:30:00,5.5170946,-1.813265
2017-04-29 05:00:00,-32.672188,-23.392155
2017-04-29 05:30:00,3.1796248,0.5273908
2017-04-29 06:00:00,0.18970045,2.7893574
2017-04-29 06:30:00,-10.079964,-2.5909474
2017-04-29 07:00:00,2.691292,-1.3801942
2017-04-29 07:30:00,2.241128,3.99116
2017-04-29 08:00:00,4.1916566,2.8888757
2017-04-29 08:30:00,-0.43243197,-1.9556775
2017-04-29 09:00:00,-27.60108,-21.550863
2017-04-29 09:30:00,-7.382446,-1.9502313
2017-04-29 10:00:00,-9.790515,-6.809902
2017-04-29 10:30:00,0.18970045,2.3791182
2017-04-29 11:00:00,8.429202,4.5072813
2017-04-29 11:30:00,-24.553637,-13.174321
2017-04-29 12:00:00,0.18970045,-2.116598
2017-04-29 12:30:00,4.2090683,3.0467317
2017-04-29 13:00:00,0.18970045,1.3277912
2017-04-29 13:30:00,-7.9821105,0.5648542
2017-04-29 14:00:00,-26.107899,-6.3983355
2017-04-29 14:30:00,11.10442,1.3325396
2017-04-29 15:00:00,3.989719,-0.41431466
2017-04-29 15:30:00,-3.3073225,-17.419315
2017-04-29 16:00:00,3.3087974,0.83406895
2017-04-29 16:30:00,-22.886072,-2.1053643
2017-04-29 17:00:00,-0.46171093,0.8076875
2017-04-29 17:30:00,-9.554258,-8.970651
2017-04-29 18:00:00,-2.9788785,0.17030124
2017-04-29 18:30:00,3.4079173,1.8781598
2017-04-29 19:00:00,2.0394444,0.85718113
2017-04-29 19:30:00,0.18970045,1.6420546
2017-04-29 20:00:00,0.8654073,3.0165803
2017-04-29 20:30:00,4.3396554,3.7013972
2017-04-29 21:00:00,-15.223363,-1.9391872
2017-04-29 21:30:00,3.1595619,3.172654
2017-04-29 22:00:00,6.749894,-2.775496
2017-04-29 22:30:00,0.18970045,2.6286798
2017-04-29 23:00:00,5.8738995,3.5673358
2017-04-29 23:30:00,4.287382,3.353789
2017-04-30 00:00:00,0.18970045,2.3830702
2017-04-30 00:30:00,6.057451,5.883203
2017-04-30 01:00:00,-1.2820945,-11.894633
2017-04-30 01:30:00,-15.007669,-5.2315006
2017-04-30 02:00:00,4.1844845,1.3674543
2017-04-30 02:30:00,23.02188,0.25134936
2017-04-30 03:00:00,-4.476627,-4.334131
2017-04-30 03:30:00,0.18970045,-0.4270806
2017-04-30 04:00:00,3.529277,0.12994027
2017-04-30 04:30:00,-19.103699,-23.735939
2017-04-30 05:00:00,-29.981632,-23.191103
2017-04-30 05:30:00,0.8095004,5.7061334
2017-04-30 06:00:00,2.2281837,2.2083673
2017-04-30 06:30:00,0.18970045,2.5505822
2017-04-30 07:00:00,-31.192484,-14.27292
2017-04-30 07:30:00,0.84845054,2.3413894
2017-04-30 08:00:00,-8.529642,-4.39815
2017-04-30 08:30:00,7.366258,5.8700805
2017-04-30 09:00:00,2.794853,6.8640256
2017-04-30 09:30:00,-22.215038,-15.62679
2017-04-30 10:00:00,8.021982,2.755459
2017-04-30 10:30:00,-15.282573,-7.0010877
2017-04-30 11:00:00,-5.840996,-18.72316
2017-04-30 11:30:00,5.253679,4.5424314
2017-04-30 12:00:00,3.041695,3.154935
2017-04-30 12:30:00,-20.020237,-14.653599
2017-04-30 13:00:00,9.774597,6.2379107
2017-04-30 13:30:00,7.7122808,7.0255
2017-04-30 14:00:00,-12.227992,-19.639116
2017-04-30 14:30:00,-1.9073786,0.5024885
2017-04-30 15:00:00,-19.200254,-12.489079
2017-04-30 15:30:00,2.1202915,0.09436557
2017-04-30 16:00:00,2.235018,2.4526722
2017-04-30 16:30:00,1.5135722,6.613607
2017-04-30 17:00:00,0.75590324,2.770493
2017-04-30 17:30:00,8.051876,2.8074787
2017-04-30 18:00:00,0.18970045,-0.54340756
2017-04-30 18:30:00,2.4554636,3.205733
2017-04-30 19:00:00,0.18970045,1.1940713
2017-04-30 19:30:00,-46.361046,-22.725437
2017-04-30 20:00:00,-38.492065,-23.092955
2017-04-30 20:30:00,4.742958,2.0654845
2017-04-30 21:00:00,5.5589914,3.3268008
2017-04-30 21:30:00,0.18970045,-0.8218384
2017-04-30 22:00:00,1.1697834,3.8226242
2017-04-30 22:30:00,-5.8530755,-15.011128
2017-04-30 23:00:00,4.3709674,3.7703469
2017-04-30 23:30:00,0.18970045,3.0983796
2017-05-01 00:00:00,6.774478,4.3371825
2017-05-01 00:30:00,-9.7112,-1.2903851
2017-05-01 01:00:00,0.18970045,-0.83523387
2017-05-01 01:30:00,5.775622,7.04582
2017-05-01 02:00:00,6.775836,1.653751
2017-05-01 02:30:00,-37.900383,-3.7959132
2017-05-01 03:00:00,-0.8388672,-0.6205341
2017-05-01 03:30:00,-29.613487,-12.513989
2017-05-01 04:00:00,8.804061,4.693324
2017-05-01 04:30:00,-17.906973,-21.529118
2017-05-01 05:00:00,1.5156962,1.6035596
2017-05-01 05:30:00,-19.180294,-15.053628
2017-05-01 06:00:00,3.185932,2.4585812
2017-05-01 06:30:00,0.18970045,1.5074852
2017-05-01 07:00:00,7.303043,6.6716943
2017-05-01 07:30:00,-23.5807,1.0344933
2017-05-01 08:00:00,2.1712263,3.4536335
2017-05-01 08:30:00,-21.18141,-8.838221
2017-05-01 09:00:00,-14.960065,-6.6226835
2017-05-01 09:30:00,0.18970045,-1.3563614
2017-05-01 10:00:00,3.72091,6.1517425
2017-05-01 10:30:00,-15.191619,-9.544284
2017-05-01 11:00:00,2.9863534,2.64206
2017-05-01 11:30:00,-6.8583183,0.5292264
2017-05-01 12:00:00,-7.4587684,-8.452937
2017-05-01 12:30:00,-46.366657,-23.129213
2017-05-01 13:00:00,-17.433908,-13.915701
2017-05-01 13:30:00,0.4380558,-4.2038164
2017-05-01 14:00:00,2.988261,8.323165
2017-05-01 14:30:00,0.18970045,2.6956496
2017-05-01 15:00:00,5.284562,4.616167
2017-05-01 15:30:00,0.18970045,0.8283497
2017-05-01 16:00:00,-3.9224386,-4.120015
2017-05-01 16:30:00,-6.5593696,-10.615105
2017-05-01 17:00:00,4.498316,2.378322
2017-05-01 17:30:00,-23.404455,-13.017421
2017-05-01 18:00:00,24.451511,5.4296293
2017-05-01 18:30:00,1.1703334,-1.6947002
2017-05-01 19:00:00,-25.988808,-15.757195
2017-05-01 19:30:00,-14.917215,-4.800455
2017-05-01 20:00:00,10.182614,2.4667883
2017-05-01 20:30:00,5.995434,2.2521873
2017-05-01 21:00:00,-5.6973433,-4.828399
2017-05-01 21:30:00,0.18970045,2.429545
2017-05-01 22:00:00,7.0918474,8.1092005
2017-05-01 22:30:00,6.653145,5.968476
2017-05-01 23:00:00,0.18970045,2.4242806
2017-05-01 23:30:00,-13.922364,-12.921824
2017-05-02 00:00:00,2.8383467,2.0683973
2017-05-02 00:30:00,-1.4510895,1.5001957
2017-05-02 01:00:00,-4.2122664,3.1834478
2017-05-02 01:30:00,-4.418793,-3.0745585
2017-05-02 02:00:00,0.18970045,0.12137655
2017-05-02 02:30:00,8.157902,2.4145565
2017-05-02 03:00:00,24.33655,3.577758
2017-05-02 03:30:00,2.425722,2.0154448
2017-05-02 04:00:00,0.18970045,3.075874
2017-05-02 04:30:00,3.047949,5.0228415
2017-05-02 05:00:00,57.856968,-10.879882
2017-05-02 05:30:00,0.18970045,2.3988473
2017-05-02 06:00:00,-0.45087543,-0.996344
2017-05-02 06:30:00,-6.034817,0.9072815
2017-05-02 07:00:00,-29.570162,-14.906073
2017-05-02 07:30:00,2.911381,7.4202423
2017-05-02 08:00:00,-1.8562883,0.43743005
2017-05-02 08:30:00,0.18970045,2.3187246
2017-05-02 09:00:00,2.8911474,2.0336342
2017-05-02 09:30:00,-23.5807,-10.793387
2017-05-02 10:00:00,26.577793,5.6005626
2017-05-02 10:30:00,1.8267623,8.510088
2017-05-02 11:00:00,4.898838,3.4043446
2017-05-02 11:30:00,9.209847,2.899806
2017-05-02 12:00:00,1.7393389,4.059503
2017-05-02 12:30:00,-7.367439,1.8759829
2017-05-02 13:00:00,-0.09330044,-0.95655954
2017-05-02 13:30:00,0.18970045,-2.8998632
2017-05-02 14:00:00,2.1899505,5.705785
2017-05-02 14:30:00,2.619714,2.948723
2017-05-02 15:00:00,0.18970045,-1.5839105
2017-05-02 15:30:00,2.0937736,-1.9069424
2017-05-02 16:00:00,3.8670697,0.6350782
2017-05-02 16:30:00,4.7791243,5.494741
2017-05-02 17:00:00,3.53643,3.5785317
2017-05-02 17:30:00,2.2481632,4.6275907
2017-05-02 18:00:00,1.9951657,4.79307
2017-05-02 18:30:00,0.44548556,1.5529737
2017-05-02 19:00:00,0.18970045,1.2236309
2017-05-02 19:30:00,-7.147118,-8.113475
2017-05-02 20:00:00,4.250867,3.9592795
2017-05-02 20:30:00,8.57036,7.3289084
2017-05-02 21:00:00,-0.25344726,1.630836
2017-05-02 21:30:00,-45.661114,-21.502697
2017-05-02 22:00:00,0.18970045,2.9248068
2017-05-02 22:30:00,0.18970045,2.5454016
2017-05-02 23:00:00,-0.66337925,-1.1332194
2017-05-02 23:30:00,5.18669,2.6586642
2017-05-03 00:00:00,19.077866,-11.251376
2017-05-03 00:30:00,5.5162187,-3.2519846
2017-05-03 01:00:00,0.18970045,0.5520807
2017-05-03 01:30:00,5.5018635,3.9937694
2017-05-03 02:00:00,2.9128222,-2.732063
2017-05-03 02:30:00,0.18970045,1.907196
2017-05-03 03:00:00,-26.802792,-11.662412
2017-05-03 03:30:00,4.6689568,1.2660398
2017-05-03 04:00:00,0.18970045,2.1773968
2017-05-03 04:30:00,7.036464,2.0423343
2017-05-03 05:00:00,-0.10010059,-0.32275343
2017-05-03 05:30:00,0.18970045,3.0655735
2017-05-03 06:00:00,5.357304,2.3735433
2017-05-03 06:30:00,-10.989534,-1.8728164
2017-05-03 07:00:00,6.0999846,4.0432177
2017-05-03 07:30:00,1.0180523,1.0430874
2017-05-03 08:00:00,-12.469403,-5.366555
2017-05-03 08:30:00,0.30551162,1.5739241
2017-05-03 09:00:00,3.971799,6.7408032
2017-05-03 09:30:00,-11.230137,-16.438936
2017-05-03 10:00:00,6.438259,2.1025155
2017-05-03 10:30:00,2.1968188,5.933872
2017-05-03 11:00:00,3.4389067,-2.9809873
2017-05-03 11:30:00,6.3340726,3.1435192
2017-05-03 12:00:00,6.603416,4.814824
2017-05-03 12:30:00,-27.786318,-15.471418
2017-05-03 13:00:00,-8.985389,-1.6751152
2017-05-03 13:30:00,-0.36867058,0.49216503
2017-05-03 14:00:00,4.263511,4.0508327
2017-05-03 14:30:00,4.0180764,4.5583453
2017-05-03 15:00:00,-8.0007925,-12.477762
2017-05-03 15:30:00,-32.94478,-5.9206862
2017-05-03 16:00:00,0.18970045,-3.0630517
2017-05-03 16:30:00,3.5949726,0.11669647
2017-05-03 17:00:00,2.8306818,1.8988296
2017-05-03 17:30:00,1.3806299,3.6876223
2017-05-03 18:00:00,6.7294483,5.5981655
2017-05-03 18:30:00,0.18970045,2.2351432
2017-05-03 19:00:00,5.9920697,4.0361404
2017-05-03 19:30:00,3.9426415,3.9808972
2017-05-03 20:00:00,-3.0613072,-5.2986298
2017-05-03 20:30:00,2.8273973,1.6837505
2017-05-03 21:00:00,8.163158,-1.5444673
2017-05-03 21:30:00,3.6951127,3.1909647
2017-05-03 22:00:00,-13.459335,0.83716375
2017-05-03 22:30:00,1.6951587,3.9308047
2017-05-03 23:00:00,0.18970045,-1.724002
2017-05-03 23:30:00,0.18970045,1.8129573
2017-05-04 00:00:00,2.4869385,-4.582281
2017-05-04 00:30:00,0.18970045,0.15568452
2017-05-04 01:00:00,-14.1206455,-9.378357
2017-05-04 01:30:00,0.18970045,2.1757205
2017-05-04 02:00:00,0.18970045,3.073447
2017-05-04 02:30:00,0.18970045,1.3842025
2017-05-04 03:00:00,8.221079,8.004328
2017-05-04 03:30:00,4.7679095,3.2488854
2017-05-04 04:00:00,0.18970045,1.9705403
2017-05-04 04:30:00,3.5142052,2.8536575
2017-05-04 05:00:00,-23.018118,-25.157671
2017-05-04 05:30:00,0.18970045,2.0391788
2017-05-04 06:00:00,-17.334282,-15.206774
2017-05-04 06:30:00,5.1583896,6.1949706
2017-05-04 07:00:00,0.18970045,2.8969994
2017-05-04 07:30:00,-9.733034,-15.882853
2017-05-04 08:00:00,5.6268945,4.6387563
2017-05-04 08:30:00,0.18970045,-1.9611844
2017-05-04 09:00:00,2.4459555,4.6446953
2017-05-04 09:30:00,-8.516076,-14.7298155
2017-05-04 10:00:00,0.18970045,-0.1891625
2017-05-04 10:30:00,5.8523197,2.7041907
2017-05-04 11:00:00,0.026420936,3.3917685
2017-05-04 11:30:00,0.18970045,-0.27992728
2017-05-04 12:00:00,-22.346714,-20.900517
2017-05-04 12:30:00,8.867359,1.2223338
2017-05-04 13:00:00,-2.8159935,-0.28344682
2017-05-04 13:30:00,-34.053715,-30.90917
2017-05-04 14:00:00,7.8141127,5.566262
2017-05-04 14:30:00,-11.849156,-1.2739024
2017-05-04 15:00:00,0.18970045,-1.1339171
2017-05-04 15:30:00,0.18970045,1.5193105
2017-05-04 16:00:00,0.18970045,0.12970513
2017-05-04 16:30:00,-5.1180825,-3.2675116
2017-05-04 17:00:00,0.32367444,-1.8603995
2017-05-04 17:30:00,7.625036,4.6824846
2017-05-04 18:00:00,0.18970045,3.2674618
2017-05-04 18:30:00,1.9051595,3.3616474
2017-05-04 19:00:00,0.38018435,-3.9498553
2017-05-04 19:30:00,2.965858,2.7862854
2017-05-04 20:00:00,4.9874487,3.1383612
2017-05-04 20:30:00,0.9406755,3.6338735
2017-05-04 21:00:00,-15.525558,-14.62944
2017-05-04 21:30:00,3.8012643,6.02023
2017-05-04 22:00:00,0.18970045,-2.4324617
2017-05-04 22:30:00,5.661214,7.114133
2017-05-04 23:00:00,14.110387,6.713838
2017-05-04 23:30:00,5.9038386,6.2441154
2017-05-05 00:00:00,-6.322036,-2.333581
2017-05-05 00:30:00,-14.32289,-11.870171
2017-05-05 01:00:00,-21.820196,-17.097805
2017-05-05 01:30:00,3.6130216,4.758527
2017-05-05 02:00:00,4.1550236,1.9946765
2017-05-05 02:30:00,-6.850058,0.7539614
2017-05-05 03:00:00,0.54819703,0.14797035
2017-05-05 03:30:00,5.068156,-1.9277563
2017-05-05 04:00:00,0.18970045,1.6687697
2017-05-05 04:30:00,-38.85369,-26.71521
2017-05-05 05:00:00,1.5068746,1.5182713
2017-05-05 05:30:00,1.5795144,4.0348587
2017-05-05 06:00:00,3.667753,3.6259394
2017-05-05 06:30:00,-20.30496,-10.182344
2017-05-05 07:00:00,4.05045,6.5607305
2017-05-05 07:30:00,0.18970045,2.79158
2017-05-05 08:00:00,1.2868613,1.6544336
2017-05-05 08:30:00,8.671403,7.3298035
2017-05-05 09:00:00,0.8250994,2.4032393
2017-05-05 09:30:00,-16.983776,-10.693263
2017-05-05 10:00:00,4.1972504,1.590824
2017-05-05 10:30:00,1.6430066,0.9694273
2017-05-05 11:00:00,-4.7998104,4.0855656
2017-05-05 11:30:00,0.18970045,-1.0087609
2017-05-05 12:00:00,-6.3690486,-1.7138075
2017-05-05 12:30:00,0.18970045,1.9305054
2017-05-05 13:00:00,-4.630523,2.570152
2017-05-05 13:30:00,0.2038962,-0.53109676
2017-05-05 14:00:00,8.0142565,5.3249307
2017-05-05 14:30:00,0.18970045,-1.0117116
