时间,真实值,预测值
2018-07-25 23:30:00,-1.7132514,-2.2455466
2018-07-26 00:00:00,-1.9133017,-3.814184
2018-07-26 00:30:00,0.37165478,1.9188914
2018-07-26 01:00:00,3.5382354,2.1403034
2018-07-26 01:30:00,-3.5393786,-1.382728
2018-07-26 02:00:00,49.56041,-4.307391
2018-07-26 02:30:00,-0.28930005,-2.4114895
2018-07-26 03:00:00,1.682663,-0.64584714
2018-07-26 03:30:00,-15.443292,4.0387
2018-07-26 04:00:00,1.6620003,0.97987163
2018-07-26 04:30:00,-8.035052,-5.3408284
2018-07-26 05:00:00,15.684619,-3.060669
2018-07-26 05:30:00,-9.956575,0.83161986
2018-07-26 06:00:00,0.8533311,1.9719702
2018-07-26 06:30:00,1.9035113,1.3899738
2018-07-26 07:00:00,-0.36680782,2.9869862
2018-07-26 07:30:00,7.978274,4.2626243
2018-07-26 08:00:00,28.66073,1.2650717
2018-07-26 08:30:00,-16.46262,-10.782901
2018-07-26 09:00:00,16.571749,1.9488477
2018-07-26 09:30:00,-37.76835,-28.999535
2018-07-26 10:00:00,17.43812,2.4398658
2018-07-26 10:30:00,2.2080808,0.20430897
2018-07-26 11:00:00,-2.2564435,4.741159
2018-07-26 11:30:00,1.7649114,-1.0931324
2018-07-26 12:00:00,-4.131263,2.8743007
2018-07-26 12:30:00,-0.59022975,-1.0349414
2018-07-26 13:00:00,21.935457,0.107147895
2018-07-26 13:30:00,1.3816763,0.14321245
2018-07-26 14:00:00,0.6616087,1.8079014
2018-07-26 14:30:00,1.6458731,-1.3555245
2018-07-26 15:00:00,-9.445196,-7.3028336
2018-07-26 15:30:00,-11.346873,-14.703966
2018-07-26 16:00:00,0.8334506,-0.43004093
2018-07-26 16:30:00,-22.823364,-24.142393
2018-07-26 17:00:00,-1.7633939,-3.1072114
2018-07-26 17:30:00,-31.500006,-22.153307
2018-07-26 18:00:00,1.7676598,0.108196534
2018-07-26 18:30:00,-9.056893,5.915092
2018-07-26 19:00:00,15.033862,0.6172206
2018-07-26 19:30:00,-1.5989013,1.9937688
2018-07-26 20:00:00,0.8642807,1.1308498
2018-07-26 20:30:00,-1.8019708,1.1430316
2018-07-26 21:00:00,0.92485726,-0.46041223
2018-07-26 21:30:00,4.0156035,2.5078964
2018-07-26 22:00:00,5.221756,1.6754447
2018-07-26 22:30:00,0.9035086,0.7590363
2018-07-26 23:00:00,3.124345,2.8882651
2018-07-26 23:30:00,-4.886871,4.374462
2018-07-27 00:00:00,-1.0394244,-2.6275187
2018-07-27 00:30:00,4.5428915,-5.8245625
2018-07-27 01:00:00,1.6677154,1.6140424
2018-07-27 01:30:00,2.028776,1.2662427
2018-07-27 02:00:00,-3.3777566,-0.05484985
2018-07-27 02:30:00,8.596544,0.98159313
2018-07-27 03:00:00,-3.8447912,-1.7487522
2018-07-27 03:30:00,-1.8757122,-0.07313118
2018-07-27 04:00:00,-6.56843,-2.1209896
2018-07-27 04:30:00,1.9650098,0.971015
2018-07-27 05:00:00,-30.651827,-3.510934
2018-07-27 05:30:00,1.1790612,1.2242402
2018-07-27 06:00:00,-16.767876,-6.9202056
2018-07-27 06:30:00,12.055168,5.398741
2018-07-27 07:00:00,-7.3497167,-2.5649629
2018-07-27 07:30:00,3.8256595,2.844943
2018-07-27 08:00:00,-10.11963,1.0108241
2018-07-27 08:30:00,-22.30079,-10.017365
2018-07-27 09:00:00,4.5394177,7.648598
2018-07-27 09:30:00,3.7154036,1.4198557
2018-07-27 10:00:00,-12.281598,-9.865929
2018-07-27 10:30:00,-3.3303843,1.7569112
2018-07-27 11:00:00,0.91733325,0.63274485
2018-07-27 11:30:00,-17.216484,-10.888197
2018-07-27 12:00:00,2.3486557,0.9930889
2018-07-27 12:30:00,-0.57462245,0.8134477
2018-07-27 13:00:00,1.586096,1.7291789
2018-07-27 13:30:00,-9.818364,-3.1473043
2018-07-27 14:00:00,2.278248,1.062177
2018-07-27 14:30:00,3.4627202,1.6641325
2018-07-27 15:00:00,1.3968337,1.0594592
2018-07-27 15:30:00,-24.526741,-13.863152
2018-07-27 16:00:00,-2.311637,0.65817004
2018-07-27 16:30:00,2.3830292,8.090469
