时间,真实值,预测值
2017-04-28 18:30:00,3.8396075,8.803215
2017-04-28 19:00:00,4.3338413,9.720025
2017-04-28 19:30:00,4.2348657,10.436333
2017-04-28 20:00:00,3.4601605,10.836575
2017-04-28 20:30:00,4.6283717,11.070479
2017-04-28 21:00:00,5.260972,11.074564
2017-04-28 21:30:00,5.41108,10.987091
2017-04-28 22:00:00,6.2063675,10.738061
2017-04-28 22:30:00,5.4213233,10.705854
2017-04-28 23:00:00,5.8226314,10.563836
2017-04-28 23:30:00,4.27374,10.565588
2017-04-29 00:00:00,3.9142385,10.634083
2017-04-29 00:30:00,3.3414252,10.746132
2017-04-29 01:00:00,3.3263571,10.928405
2017-04-29 01:30:00,5.164029,11.032538
2017-04-29 02:00:00,5.2093353,11.07211
2017-04-29 02:30:00,4.6597214,10.973256
2017-04-29 03:00:00,3.4750693,10.647611
2017-04-29 03:30:00,2.8753512,10.1803875
2017-04-29 04:00:00,9.096615,9.364799
2017-04-29 04:30:00,3.1379364,8.293245
2017-04-29 05:00:00,8.510129,6.9534893
2017-04-29 05:30:00,5.641678,5.183462
2017-04-29 06:00:00,4.8187914,3.134106
2017-04-29 06:30:00,3.7116978,0.7967269
2017-04-29 07:00:00,-2.561096,-1.822371
2017-04-29 07:30:00,-8.64196,-4.637331
2017-04-29 08:00:00,-11.258005,-7.6435976
2017-04-29 08:30:00,-7.4378676,-10.577345
2017-04-29 09:00:00,-19.83023,-12.884126
2017-04-29 09:30:00,-15.646421,-14.34827
2017-04-29 10:00:00,-14.272122,-14.882206
2017-04-29 10:30:00,-18.44848,-14.47527
2017-04-29 11:00:00,-26.475576,-13.490613
2017-04-29 11:30:00,-25.287987,-12.288485
2017-04-29 12:00:00,-24.100397,-10.9381895
2017-04-29 12:30:00,-22.912807,-9.602356
2017-04-29 13:00:00,-21.725216,-8.2026205
2017-04-29 13:30:00,-20.537624,-6.788159
2017-04-29 14:00:00,-19.350035,-5.2958345
2017-04-29 14:30:00,-18.162443,-3.668144
2017-04-29 15:00:00,-16.974855,-1.9663764
2017-04-29 15:30:00,-15.787264,-0.23285337
2017-04-29 16:00:00,-14.599675,1.4663391
2017-04-29 16:30:00,-13.412084,3.11578
2017-04-29 17:00:00,-12.224492,4.6004696
2017-04-29 17:30:00,-11.036903,5.954318
2017-04-29 18:00:00,-9.849312,7.1692433
2017-04-29 18:30:00,-8.661724,8.174654
2017-04-29 19:00:00,-7.4741325,8.946875
2017-04-29 19:30:00,-6.2865405,9.532606
2017-04-29 20:00:00,-5.0989523,9.949493
2017-04-29 20:30:00,-3.9113605,10.291675
2017-04-29 21:00:00,-2.7237723,10.494177
2017-04-29 21:30:00,-1.5361805,10.583717
2017-04-29 22:00:00,-0.3485887,10.687073
2017-04-29 22:30:00,0.83899933,10.779116
2017-04-29 23:00:00,2.0265913,10.973901
2017-04-29 23:30:00,3.2141793,11.231984
2017-04-30 00:00:00,4.401771,11.542395
2017-04-30 00:30:00,4.7571044,12.020468
