时间,真实值,预测值
2018-07-25 23:30:00,42.391376,10.245115
2018-07-26 00:00:00,7.7510285,10.3850565
2018-07-26 00:30:00,7.4822836,10.41365
2018-07-26 01:00:00,3.355278,10.73276
2018-07-26 01:30:00,4.7732563,11.226942
2018-07-26 02:00:00,4.843734,10.546145
2018-07-26 02:30:00,4.9142065,10.37831
2018-07-26 03:00:00,5.619554,10.398899
2018-07-26 03:30:00,4.443017,9.348754
2018-07-26 04:00:00,-2.9978292,8.61078
2018-07-26 04:30:00,10.351522,8.139983
2018-07-26 05:00:00,8.137016,7.782833
2018-07-26 05:30:00,17.288946,7.077097
2018-07-26 06:00:00,7.157698,4.4929366
2018-07-26 06:30:00,13.257681,3.7578473
2018-07-26 07:00:00,1.7393246,2.600321
2018-07-26 07:30:00,-9.779031,0.5383059
2018-07-26 08:00:00,-7.134819,-1.2221984
2018-07-26 08:30:00,-8.1670065,-3.5519054
2018-07-26 09:00:00,-9.319551,-5.760818
2018-07-26 09:30:00,-12.254601,-8.529246
2018-07-26 10:00:00,-17.388987,-10.508663
2018-07-26 10:30:00,-24.315876,-12.637262
2018-07-26 11:00:00,-19.384172,-13.797762
2018-07-26 11:30:00,-31.685522,-14.680599
2018-07-26 12:00:00,-16.390364,-14.789889
2018-07-26 12:30:00,-15.588437,-15.548158
2018-07-26 13:00:00,-23.952736,-15.675203
2018-07-26 13:30:00,-18.220188,-14.909461
2018-07-26 14:00:00,-17.177326,-15.3452
2018-07-26 14:30:00,-24.131285,-13.395645
2018-07-26 15:00:00,-17.948454,-12.565527
2018-07-26 15:30:00,-22.859354,-11.735098
2018-07-26 16:00:00,-19.44365,-9.660373
2018-07-26 16:30:00,-12.525674,-7.3658524
2018-07-26 17:00:00,-17.620943,-5.231647
2018-07-26 17:30:00,-4.0231433,-2.9258792
2018-07-26 18:00:00,-1.9767619,-0.4989411
2018-07-26 18:30:00,2.1956367,1.6642069
2018-07-26 19:00:00,6.368031,3.5652642
2018-07-26 19:30:00,16.040987,5.2244167
2018-07-26 20:00:00,25.713942,6.5185113
2018-07-26 20:30:00,15.029607,7.5537133
2018-07-26 21:00:00,17.568579,8.26249
2018-07-26 21:30:00,17.224018,8.652446
2018-07-26 22:00:00,16.879456,8.893162
2018-07-26 22:30:00,16.534893,8.915603
2018-07-26 23:00:00,16.190336,8.856022
2018-07-26 23:30:00,15.845774,10.078521
2018-07-27 00:00:00,15.501212,9.4765215
2018-07-27 00:30:00,15.15665,9.442651
2018-07-27 01:00:00,14.812088,9.17578
2018-07-27 01:30:00,14.4675255,8.940272
2018-07-27 02:00:00,14.122968,8.587623
2018-07-27 02:30:00,13.778406,8.230551
2018-07-27 03:00:00,13.433845,7.98502
2018-07-27 03:30:00,13.089282,7.7872725
2018-07-27 04:00:00,12.74472,7.074178
2018-07-27 04:30:00,12.400158,7.183237
2018-07-27 05:00:00,12.0556,7.026823
2018-07-27 05:30:00,11.711039,7.160551
2018-07-27 06:00:00,11.366477,6.410274
2018-07-27 06:30:00,2.2563095,5.6828747
2018-07-27 07:00:00,0.56336844,3.9523966
2018-07-27 07:30:00,-1.1295683,1.2183416
2018-07-27 08:00:00,-2.8225093,-1.2280707
2018-07-27 08:30:00,-4.5154505,-3.8967078
2018-07-27 09:00:00,-6.2083874,-6.6694927
2018-07-27 09:30:00,-7.9013286,-9.624793
2018-07-27 10:00:00,-9.594269,-12.714845
2018-07-27 10:30:00,-11.287206,-16.47191
2018-07-27 11:00:00,-12.980146,-18.760601
2018-07-27 11:30:00,-14.673086,-21.692604
2018-07-27 12:00:00,-16.366024,-22.231676
2018-07-27 12:30:00,-18.058964,-22.082787
2018-07-27 13:00:00,-24.650272,-23.119293
2018-07-27 13:30:00,-23.832281,-22.56493
2018-07-27 14:00:00,-14.167013,-21.153442
2018-07-27 14:30:00,-21.019697,-20.306784
2018-07-27 15:00:00,-22.745687,-18.232437
2018-07-27 15:30:00,-14.631099,-17.192196
2018-07-27 16:00:00,-13.521618,-15.364744
2018-07-27 16:30:00,-14.239326,-12.539678
2018-07-27 17:00:00,-11.147906,-10.495123
2018-07-27 17:30:00,-4.386371,-7.066666
2018-07-27 18:00:00,-3.8519351,-4.202981
2018-07-27 18:30:00,-0.7601273,-1.246457
2018-07-27 19:00:00,2.3316808,1.5267648
2018-07-27 19:30:00,11.0862665,4.238501
2018-07-27 20:00:00,-27.292652,6.6774154
2018-07-27 20:30:00,-24.57848,8.1981735
2018-07-27 21:00:00,-21.864311,9.545304
2018-07-27 21:30:00,-19.15014,10.433687
2018-07-27 22:00:00,-16.435966,10.875149
2018-07-27 22:30:00,-13.721797,10.790707
2018-07-27 23:00:00,-11.007625,10.453183
2018-07-27 23:30:00,-8.293455,9.925271
2018-07-28 00:00:00,-5.579285,9.734103
2018-07-28 00:30:00,-2.8651147,9.603967
2018-07-28 01:00:00,-0.1509448,9.468115
2018-07-28 01:30:00,2.5632255,9.358777
2018-07-28 02:00:00,5.2773995,9.36492
2018-07-28 02:30:00,7.9915695,9.40365
2018-07-28 03:00:00,7.1563435,9.488232
2018-07-28 03:30:00,6.3211217,9.758397
2018-07-28 04:00:00,5.4859004,10.144979
2018-07-28 04:30:00,4.6506743,10.543148
2018-07-28 05:00:00,3.8154528,10.346912
2018-07-28 05:30:00,5.0560136,9.791761
2018-07-28 06:00:00,7.026395,9.418908
2018-07-28 06:30:00,4.5030866,8.209499
2018-07-28 07:00:00,-6.083057,6.798237
2018-07-28 07:30:00,-4.4361296,5.209666
2018-07-28 08:00:00,-4.6948647,3.4140062
2018-07-28 08:30:00,-2.858766,1.4981018
2018-07-28 09:00:00,-8.621086,-0.50144476
2018-07-28 09:30:00,-13.9625,-2.5546293
2018-07-28 10:00:00,-25.69164,-4.7195516
2018-07-28 10:30:00,-18.475042,-6.6465974
2018-07-28 11:00:00,-17.14543,-8.446688
2018-07-28 11:30:00,-24.660486,-10.073132
2018-07-28 12:00:00,-25.684952,-11.407468
2018-07-28 12:30:00,-28.317654,-12.348222
2018-07-28 13:00:00,-27.179781,-13.757147
2018-07-28 13:30:00,-24.388834,-14.500678
2018-07-28 14:00:00,-22.956675,-13.249156
2018-07-28 14:30:00,-19.48677,-13.5907755
2018-07-28 15:00:00,-14.403572,-13.142073
2018-07-28 15:30:00,-14.702431,-11.631799
2018-07-28 16:00:00,-19.622494,-10.611758
2018-07-28 16:30:00,-19.665897,-8.849794
2018-07-28 17:00:00,-12.633283,-6.9942136
2018-07-28 17:30:00,-11.377035,-4.6201315
2018-07-28 18:00:00,-6.676593,-2.5427403
2018-07-28 18:30:00,-3.5327897,-0.28418353
2018-07-28 19:00:00,0.9774467,1.9591419
2018-07-28 19:30:00,2.4138944,4.3080697
2018-07-28 20:00:00,17.955074,4.565241
2018-07-28 20:30:00,15.900399,4.8414617
2018-07-28 21:00:00,-22.039137,5.0936947
2018-07-28 21:30:00,17.837612,5.0618863
2018-07-28 22:00:00,20.475708,4.7731776
2018-07-28 22:30:00,6.0276814,4.3214836
2018-07-28 23:00:00,12.873031,3.7141452
2018-07-28 23:30:00,19.718378,3.4256024
2018-07-29 00:00:00,26.563726,3.514558
2018-07-29 00:30:00,15.260902,3.5307639
2018-07-29 01:00:00,3.9580812,3.478323
2018-07-29 01:30:00,2.3923185,3.4210935
2018-07-29 02:00:00,3.9359984,3.2633164
2018-07-29 02:30:00,5.479678,3.0615926
2018-07-29 03:00:00,7.0233583,2.621399
2018-07-29 03:30:00,14.019747,2.0479224
2018-07-29 04:00:00,9.38931,1.3469489
2018-07-29 04:30:00,-5.8243265,0.6929806
2018-07-29 05:00:00,4.330454,-0.028743025
2018-07-29 05:30:00,14.485239,-0.6685852
2018-07-29 06:00:00,5.1508503,-1.4609829
2018-07-29 06:30:00,-4.183542,-2.7683382
2018-07-29 07:00:00,-13.51793,-5.154126
2018-07-29 07:30:00,-6.413004,-7.762781
2018-07-29 08:00:00,-5.727926,-10.174316
2018-07-29 08:30:00,-13.963234,-12.475667
2018-07-29 09:00:00,-14.274739,-15.423669
2018-07-29 09:30:00,-17.51702,-18.476187
