时间,真实值,预测值
2017-04-28 19:00:00,-29.75303,-23.96233
2017-04-28 19:30:00,-8.349619,-13.424049
2017-04-28 20:00:00,4.71194,4.650762
2017-04-28 20:30:00,-8.51409,-2.8976576
2017-04-28 21:00:00,-0.9978837,4.4822917
2017-04-28 21:30:00,0.18969977,0.13757586
2017-04-28 22:00:00,-19.644228,-10.942953
2017-04-28 22:30:00,0.18969977,0.1382556
2017-04-28 23:00:00,-5.7536263,0.629599
2017-04-28 23:30:00,6.8619905,6.3563232
2017-04-29 00:00:00,-8.806942,6.151228
2017-04-29 00:30:00,1.7420925,-2.4108005
2017-04-29 01:00:00,-45.661114,-32.72853
2017-04-29 01:30:00,0.18969977,0.1329
2017-04-29 02:00:00,3.0764227,8.741857
2017-04-29 02:30:00,-0.16664672,-0.13289535
2017-04-29 03:00:00,-7.330797,-13.813194
2017-04-29 03:30:00,-20.495134,-21.710777
2017-04-29 04:00:00,-10.263836,-5.153574
2017-04-29 04:30:00,0.18969977,0.137941
2017-04-29 05:00:00,0.18969977,0.080558896
2017-04-29 05:30:00,7.2395053,7.6819987
2017-04-29 06:00:00,2.5982118,2.6741776
2017-04-29 06:30:00,9.034517,7.041286
2017-04-29 07:00:00,3.8012629,12.329979
2017-04-29 07:30:00,2.5798788,2.3649697
2017-04-29 08:00:00,-8.742269,-1.9527025
2017-04-29 08:30:00,0.18969977,0.13907051
2017-04-29 09:00:00,-22.541138,-17.008331
2017-04-29 09:30:00,8.697342,5.26252
2017-04-29 10:00:00,-3.4418592,-14.878802
2017-04-29 10:30:00,-44.210506,-25.11183
2017-04-29 11:00:00,-22.256845,-12.027063
2017-04-29 11:30:00,19.349062,-12.792364
2017-04-29 12:00:00,9.649902,2.2515936
2017-04-29 12:30:00,-0.3835107,-4.210468
2017-04-29 13:00:00,3.7150493,9.202118
2017-04-29 13:30:00,4.272611,3.9776244
2017-04-29 14:00:00,0.18969977,0.13663077
2017-04-29 14:30:00,-30.404879,-32.690655
2017-04-29 15:00:00,0.18969977,0.13228667
2017-04-29 15:30:00,0.18969977,0.13509357
2017-04-29 16:00:00,0.18969977,0.13933527
2017-04-29 16:30:00,2.2099104,2.019927
2017-04-29 17:00:00,-2.2800941,2.940051
2017-04-29 17:30:00,2.9496636,7.488563
2017-04-29 18:00:00,9.18088,6.9018493
2017-04-29 18:30:00,0.18969977,0.14293182
2017-04-29 19:00:00,0.18969977,0.13769186
2017-04-29 19:30:00,38.088997,20.806215
2017-04-29 20:00:00,6.319428,-10.821228
2017-04-29 20:30:00,0.18969977,0.13531613
2017-04-29 21:00:00,0.5413077,-2.327485
2017-04-29 21:30:00,0.18969977,0.13881636
2017-04-29 22:00:00,0.18969977,0.13370514
2017-04-29 22:30:00,-35.972443,8.075012
2017-04-29 23:00:00,-24.967556,-7.6297116
