时间,真实值,预测值
2018-07-25 23:30:00,2.3399315,-0.45336792
2018-07-26 00:00:00,2.6492796,-1.3373857
2018-07-26 00:30:00,3.1266937,-0.30121577
2018-07-26 01:00:00,-8.314138,-9.951215
2018-07-26 01:30:00,3.8085341,5.1432724
2018-07-26 02:00:00,4.859106,1.2359735
2018-07-26 02:30:00,-5.222876,-7.1482444
2018-07-26 03:00:00,15.010092,3.2058792
2018-07-26 03:30:00,-39.36259,6.629795
2018-07-26 04:00:00,-7.29788,2.3030844
2018-07-26 04:30:00,-1.7717586,3.5774555
2018-07-26 05:00:00,-0.15873563,-0.31280878
2018-07-26 05:30:00,-1.4659724,-4.5843725
2018-07-26 06:00:00,2.3724036,1.6949495
2018-07-26 06:30:00,1.3003014,0.79484105
2018-07-26 07:00:00,0.09540582,11.843269
2018-07-26 07:30:00,-6.7724185,-10.488749
2018-07-26 08:00:00,-40.024338,-13.4866
2018-07-26 08:30:00,3.8887267,2.285789
2018-07-26 09:00:00,-4.641314,-3.6670322
2018-07-26 09:30:00,-7.6835265,-0.7168924
2018-07-26 10:00:00,-7.2445784,-4.336847
2018-07-26 10:30:00,2.8053818,0.9205533
2018-07-26 11:00:00,1.6900736,0.7236563
2018-07-26 11:30:00,2.148234,-0.07250133
2018-07-26 12:00:00,3.9308743,1.1613408
2018-07-26 12:30:00,-8.569788,-10.284737
2018-07-26 13:00:00,0.4621172,6.371841
2018-07-26 13:30:00,-5.535633,34.14086
2018-07-26 14:00:00,5.0184216,0.17684782
2018-07-26 14:30:00,-11.88621,-10.97206
2018-07-26 15:00:00,-7.4668374,-5.3287115
2018-07-26 15:30:00,2.9541311,4.0137486
2018-07-26 16:00:00,2.0454197,3.1091928
2018-07-26 16:30:00,-15.235586,-10.246011
2018-07-26 17:00:00,4.3733873,3.8557525
2018-07-26 17:30:00,3.6225996,1.3562438
2018-07-26 18:00:00,-0.41910663,-9.176188
2018-07-26 18:30:00,-2.2945998,0.4586377
2018-07-26 19:00:00,-3.844792,-2.913186
2018-07-26 19:30:00,-6.3007026,-7.186743
